meetplaats;bekken;waterloop;categorie;fgroup;X;Y
103300;Maasbekken;WARMBEEK - TONGELREEP (NED) - BROEKBEEK - VRENENBEEK - JONGEMANS;Onbevaarbaar cat. 2;"Maïs 29% +
Grasland 25% +
Aardappelen 7%
(total 72%)";228511;204614
16400;Bekken van de Gentse Kanalen;HOLLEMEERSBEEK;Onbevaarbaar cat. 2;"Maïs 29% +
Grasland 25% +
Aardappelen 7%
(total 72%)";100961;212931
17000;Bekken van de Gentse Kanalen;ISABELLAWATERING;Onbevaarbaar cat. 2;"Maïs 29% +
Grasland 25% +
Aardappelen 7%
(total 72%)";105412;214096
19000;Bekken van de Gentse Kanalen;OOSTEEKLOSE BEEK - MOERBEEK;Onbevaarbaar cat. 2;"Maïs 29% +
Grasland 25% +
Aardappelen 7%
(total 72%)";103690;212191
191025;Benedenscheldebekken;NA;Onbevaarbaar cat. 3;"Granen 20% +
Grasland 18% +
Maïs 14%
(total 70%)";137636;218673
24050;Bekken van de Brugse Polders;EEKLOSE WATERGANG - SLEEPDAMME WATERGANG - ZUIDAKKERBEEK;Onbevaarbaar cat. 2;"Maïs 29% +
Grasland 25% +
Aardappelen 7%
(total 72%)";95902;211592
26700;Bekken van de Brugse Polders;ZEEDIJKADER;Onbevaarbaar cat. 2;"Granen 20% +
Grasland 18% +
Maïs 14%
(total 70%)";79870;225400
27000;Bekken van de Brugse Polders;HOEKEVAART;Onbevaarbaar cat. 2;"Granen 20% +
Grasland 18% +
Maïs 14%
(total 70%)";77600;221550
300300;Netebekken;KLEINE CALIE;Onbevaarbaar cat. 2;"Maïs 29% +
Grasland 25% +
Aardappelen 7%
(total 72%)";189695;216642
328220;Netebekken;HALFWEGLOOP - KLEINBROEKBEEK - KLEINBROEKLOOP - SCHEILOOP - SCHEIBEEK;Onbevaarbaar cat. 2;"Maïs 29% +
Grasland 25% +
Aardappelen 7%
(total 72%)";198467;200280
366200;Dijle- en Zennebekken;OUDE GRACHT;Niet geklasseerd;"Granen 20% +
Grasland 18% +
Maïs 14%
(total 70%)";145329;164382
442810;Demerbekken;KLEINBEEK - VLOETGRACHT;Onbevaarbaar cat. 2;"Granen 20% +
Grasland 18% +
Maïs 14%
(total 70%)";188417;166754
485400;Dijle- en Zennebekken;LANGEGRACHT - VLOETGROUBBE;Onbevaarbaar cat. 2;"Granen 20% +
Grasland 18% +
Maïs 14%
(total 70%)";166889;167271
495350;Benedenscheldebekken;ZELEBEEK - STENENGOOTBEEK;Onbevaarbaar cat. 2;"Maïs 29% +
Grasland 25% +
Aardappelen 7%
(total 72%)";124876;196440
53150;Bekken van de Gentse Kanalen;FONDATIEGRACHT;Onbevaarbaar cat. 2;"Maïs 29% +
Grasland 25% +
Aardappelen 7%
(total 72%)";120650;205432
538970;Denderbekken;SCHEIBEEK - KETELBERGBEEK - SCHALOENBEEK;Onbevaarbaar cat. 2;"Granen 20% +
Grasland 18% +
Maïs 14%
(total 70%)";128057;160193
546900;Benedenscheldebekken;NA;Niet geklasseerd;"Maïs 29% +
Grasland 25% +
Aardappelen 7%
(total 72%)";119485;190154
557150;Benedenscheldebekken;KERKENSBEEK;Onbevaarbaar cat. 2;"Granen 20% +
Grasland 18% +
Maïs 14%
(total 70%)";107968;181908
677046;IJzerbekken;NA;Onbevaarbaar cat. 2;"Granen 20% +
Grasland 18% +
Maïs 14%
(total 70%)";35618;188116
68300;Maasbekken;BROEKLOOP - WITTEGOOR;Onbevaarbaar cat. 2;"Maïs 29% +
Grasland 25% +
Aardappelen 7%
(total 72%)";161211;234726
69000;Maasbekken;SLUISKENSBEEK;Onbevaarbaar cat. 2;"Maïs 29% +
Grasland 25% +
Aardappelen 7%
(total 72%)";169526;234555
733000;Bovenscheldebekken;MAARKEBEEK - MOLENBEEK;Onbevaarbaar cat. 2;"Granen 20% +
Grasland 18% +
Maïs 14%
(total 70%)";101313;165616
735100;Bovenscheldebekken;MOLENBEEK;Onbevaarbaar cat. 2;"Granen 20% +
Grasland 18% +
Maïs 14%
(total 70%)";92797;166419
745100;Bovenscheldebekken;ZANDBEEK - KLEINE SPIERE;Onbevaarbaar cat. 2;"Granen 20% +
Grasland 18% +
Maïs 14%
(total 70%)";77453;159782
756200;Bekken van de Gentse Kanalen;NEERSCHUURBEEK;Onbevaarbaar cat. 2;"Maïs 29% +
Grasland 25% +
Aardappelen 7%
(total 72%)";90280;192727
758000;Bekken van de Gentse Kanalen;BUNDINGSBEEK - REIGERSBEEK;Onbevaarbaar cat. 2;"Maïs 29% +
Grasland 25% +
Aardappelen 7%
(total 72%)";85040;192925
764200;Bekken van de Brugse Polders;EDE;Onbevaarbaar cat. 2;"Maïs 29% +
Grasland 25% +
Aardappelen 7%
(total 72%)";87245;207610
764530;Bekken van de Brugse Polders;SPLENTERBEEK - PRINCEVELDBEEK;Onbevaarbaar cat. 2;"Maïs 29% +
Grasland 25% +
Aardappelen 7%
(total 72%)";83365;208007
764600;Bekken van de Brugse Polders;BIESTWATERGANG - WITTEMOERWATERGANG - WITTE MOERBEEK;Onbevaarbaar cat. 2;"Maïs 29% +
Grasland 25% +
Aardappelen 7%
(total 72%)";83300;209240
768110;Bekken van de Gentse Kanalen;OSSEBEEK;Onbevaarbaar cat. 2;"Maïs 29% +
Grasland 25% +
Aardappelen 7%
(total 72%)";93442;194346
78510;Maasbekken;BLAUWPUTTEN EN LEILOOP - LEILOOP - BLAUWPUTTENLOOP;Onbevaarbaar cat. 2;"Maïs 29% +
Grasland 25% +
Aardappelen 7%
(total 72%)";172712;237063
788070;Bekken van de Gentse Kanalen;'T LEIKEN;Onbevaarbaar cat. 3;"Maïs 29% +
Grasland 25% +
Aardappelen 7%
(total 72%)";95746;203158
863405;IJzerbekken;GROOTGELEED;Onbevaarbaar cat. 2;"Granen 20% +
Grasland 18% +
Maïs 14%
(total 70%)";49470;203590
874140;Bekken van de Brugse Polders;HOOFDSLOOT;Onbevaarbaar cat. 2;"Maïs 29% +
Grasland 25% +
Aardappelen 7%
(total 72%)";74638;207750
877930;Bekken van de Brugse Polders;LANGE SMALLE WATERGANG;Onbevaarbaar cat. 2;"Granen 20% +
Grasland 18% +
Maïs 14%
(total 70%)";66517;222987
885200;Bekken van de Brugse Polders;ST. TRUDOLEDEKEN - BERGBEEK - ST. TRUDOLEKE;Onbevaarbaar cat. 2;"Maïs 29% +
Grasland 25% +
Aardappelen 7%
(total 72%)";75520;208610
918440;IJzerbekken;CALVEBEEK;Onbevaarbaar cat. 2;"Maïs 29% +
Grasland 25% +
Aardappelen 7%
(total 72%)";52150;192770
976100;IJzerbekken;MEERSBEEK;Onbevaarbaar cat. 2;"Maïs 29% +
Grasland 25% +
Aardappelen 7%
(total 72%)";37580;182310
990035;IJzerbekken;STEENVOORDEBEEK - DODESTAPPENBEEK;Onbevaarbaar cat. 2;"Granen 20% +
Grasland 18% +
Maïs 14%
(total 70%)";27220;171040
99550;Maasbekken;BOLLISENBEEK;Onbevaarbaar cat. 2;"Maïs 29% +
Grasland 25% +
Aardappelen 7%
(total 72%)";222498;199266
